execution,root,checkpoint,initiator,participants
f01_ledger_reject,0,before:ProfessorAgent.t_StartReview,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
f01_ledger_reject,0,before:ProfessorAgent.t_AssessEvidence,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:ProfessorAgent.t_AssessEvidence,ProfessorAgent.t_AssessEvidence,"EvidenceNet.t_Grade_Assign,EvidenceObject.t_Grade_Assign,ProfessorAgent.t_AssessEvidence"
f01_ledger_reject,0,before:ProfessorAgent.t_ApproveEvidence,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:ProfessorAgent.t_ApproveEvidence,ProfessorAgent.t_ApproveEvidence,"ProfessorAgent.t_ApproveEvidence,UniversityAgent.t_ReceiveEvidence"
f01_ledger_reject,0,before:UniversityAgent.t_VerifyEvidence,UniversityAgent.t_VerifyEvidence,UniversityAgent.t_VerifyEvidence
f01_ledger_reject,0,before:UniversityAgent.t_VerifyEvidence,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:UniversityAgent.t_RequestCredential,UniversityAgent.t_RequestCredential,"CompetencyNet.t_Review_Init,CredentialObject.t_StartReview,UniversityAgent.t_RequestCredential"
f01_ledger_reject,0,before:UniversityAgent.t_RequestCredential,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:CompetencyNet.t_Verification_Pass,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:CompetencyNet.t_Verification_Pass,CompetencyNet.t_Verification_Pass,"CompetencyNet.t_Verification_Pass,CredentialObject.t_Validate"
f01_ledger_reject,0,before:UniversityAgent.t_IssueCredential,UniversityAgent.t_IssueCredential,"CompetencyNet.t_SBT_Mint,CredentialObject.t_Mint,UniversityAgent.t_IssueCredential,WalletNet.t_ReceiveCredential"
f01_ledger_reject,0,before:UniversityAgent.t_IssueCredential,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_ledger_reject,0,before:StudentAgent.t_WaitCredential,CompetencyNet.t_SBT_Cancel,"CompetencyNet.t_SBT_Cancel,CredentialObject.t_Cancel,StudentAgent.t_AbortSubmitted,WalletNet.t_AbortReceived"
f01_ledger_reject,0,before:StudentAgent.t_ReceiveCredential,StudentAgent.t_ReceiveCredential,"StudentAgent.t_ReceiveCredential,WalletNet.t_RequestConsent"
f01_ledger_reject,0,before:StudentAgent.t_ReceiveCredential,CompetencyNet.t_SBT_Cancel,"CompetencyNet.t_SBT_Cancel,CredentialObject.t_Cancel,StudentAgent.t_AbortWaiting,WalletNet.t_AbortReceived"
f01_ledger_reject,0,decision,StudentAgent.t_RejectCredential,"CompetencyNet.t_SBT_Reject,CredentialObject.t_Reject,StudentAgent.t_RejectCredential,WalletNet.t_RejectCredential"
f01_ledger_reject,0,decision,StudentAgent.t_AcceptCredential,"CompetencyNet.t_SBT_Accept,CredentialObject.t_Accept,HEDULedgerNet.t_Execute,StudentAgent.t_AcceptCredential,WalletNet.t_AcceptCredential"
f01_ledger_reject,0,decision,CompetencyNet.t_SBT_Cancel,"CompetencyNet.t_SBT_Cancel,CredentialObject.t_Cancel,StudentAgent.t_AbortReceived,WalletNet.t_AbortConsent"
f01_ledger_reject,0,before:StudentAgent.t_AcceptCredential,StudentAgent.t_RejectCredential,"CompetencyNet.t_SBT_Reject,CredentialObject.t_Reject,StudentAgent.t_RejectCredential,WalletNet.t_RejectCredential"
f01_ledger_reject,0,before:StudentAgent.t_AcceptCredential,StudentAgent.t_AcceptCredential,"CompetencyNet.t_SBT_Accept,CredentialObject.t_Accept,HEDULedgerNet.t_Execute,StudentAgent.t_AcceptCredential,WalletNet.t_AcceptCredential"
f01_ledger_reject,0,before:StudentAgent.t_AcceptCredential,CompetencyNet.t_SBT_Cancel,"CompetencyNet.t_SBT_Cancel,CredentialObject.t_Cancel,StudentAgent.t_AbortReceived,WalletNet.t_AbortConsent"
f01_ledger_reject,0,before:HEDULedgerNet.t_Order,HEDULedgerNet.t_Order,HEDULedgerNet.t_Order
f01_ledger_reject,0,before:HEDULedgerNet.t_Reject,HEDULedgerNet.t_Validate,HEDULedgerNet.t_Validate
f01_ledger_reject,0,before:HEDULedgerNet.t_Reject,HEDULedgerNet.t_Reject,"CompetencyNet.t_LedgerFailed,CredentialObject.t_LedgerFailed,HEDULedgerNet.t_Reject,StudentAgent.t_AbortAwaitingAnchor,WalletNet.t_AbortAwaitingAnchor"
f01_reject,0,before:StudentAgent.t_SubmitEvidence,StudentAgent.t_SubmitEvidence,"EvidenceNet.t_IPFS_Upload,EvidenceObject.t_IPFS_Upload,ProfessorAgent.t_ReceiveEvidence,StudentAgent.t_SubmitEvidence"
f01_reject,0,before:EvidenceNet.t_LMS_Submit,EvidenceNet.t_LMS_Submit,"EvidenceNet.t_LMS_Submit,EvidenceObject.t_LMS_Submit"
f01_reject,0,before:EvidenceNet.t_LMS_Submit,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_reject,0,before:EvidenceNet.t_LMS_Submit,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
f01_reject,0,before:EvidenceNet.t_Review_Request,EvidenceNet.t_Review_Request,EvidenceNet.t_Review_Request
f01_reject,0,before:EvidenceNet.t_Review_Request,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_reject,0,before:EvidenceNet.t_Review_Request,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
f01_reject,0,before:ProfessorAgent.t_StartReview,StudentAgent.t_WaitCredential,StudentAgent.t_WaitCredential
f01_reject,0,before:ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview,ProfessorAgent.t_StartReview
